tier,summonerId,summonerName,leaguePoints,wins,losses,puuid
CHALLENGER,WMTTgkpOA11sENvdf7-AE_HNKTKPkndPZm9odAZF5Mq7u2Q,Destiny,1024,544,478,9trDeWcKppUvXKCdaRe6eqRse9oCCl95OW0SPokYkZI-5KV3ea8KE_-ikztRFya0C44u52jpo0rKnA
CHALLENGER,1FgaMKmd_vWISshNEOUkCJ5pKkxRoIjSszSFxoTJtCnJOyidK2uif67UIg,김김정정민민,1460,930,820,yu597qnkLr_O0maA7Of7Bf0dbQRC70dGCo5LgZ1mr1uhMG2RjBxNKz0myHeg469MCzK3yOZWmXtmww
CHALLENGER,q6StmhE6cHQWsB5i812r6eBZt5vH8Bh4wvq0qz_RPAsIJ78,05프로하고싶어요,955,487,419,Hwv3Plt9SL282zxi0THWqg_Vm6ftv3xRCMDTSM8fWR8WQuN073gRw_Ax4EbSx6bRNB46Qadalu-S2w
CHALLENGER,TwIQCokGSFwTuX1z4AjkGMbN-CWleMDNeK6v5xwewp6BBYs,못할 때도 있지,873,645,585,zQ3OsljTUKfnxAohZHoqmPfdgm8AOeFtijfenuMmmF4RCZs7nx-CQfFBs7oXORU8naLx94v-hW7C6g
CHALLENGER,ICLQinb_RgCG9IelEN9tUG-Wq_RgMipa_m97cO0NsKNQOnbqdc0WbiJdfA,haoyunbaobel,1015,637,520,BtuXNVju-Lt9HbZOaIO-wYwiw1rFckWGQ-oUbmsFhut5WzI1Bm8ap3rSlt0BAZQujip4mMzAqE2yAw
CHALLENGER,OJsLeZNHjNewTPbD3AvbW-S92msfoEqtcnVGtHHsZSCOZR8,cxybaby,864,299,213,Ae0L1eN8vLE7fRV_jmTRoOJepOgGmwn-isXitrMaP6QtOJRhKW3948GhljlRcltxSolEAw_LDNswzA
CHALLENGER,oOzK41-_4RY_H5558HohJCG5oGfdAnSKBzSmCUkMZyVOUug,HLE Asap,982,1207,1140,n19KxpSy9PzNgv01Zd5qBFEuvpz7umU33gP1faaEqot5oh2XvVkAiNT1sLR447tBxrWxFbE139dhrw
CHALLENGER,5nNy_iKAV02JMl0iwMJredNx2iCE_ZUKKlse2-yiVqlxG5U,tnedifnoc syawla,1156,244,167,gBwC92SCOxf5Rc6r3gwcTyQCrPSss0SqCCgo7wDcXv-M4lMa1kMjYAOUutJS3r4UF9efcFh-aU3vMg
CHALLENGER,F03GMugGBW3lj9I26pkiHm2ihblXG9K2Ktvxzx_KoNLhs8b5EkBmGXR1vQ,Music and me,990,896,822,OYMLg-cOMQ3E9DM0Rnb82TgH2firAKzkp8QWLX0715y-WeTT0JaksPnOfj8GUexAeB_nrkhs3Oe3cg
CHALLENGER,kuoszO6pwiVoEg2nQYmIJ59r9JSg8nu_O_d2u499Z_MG78s,재미없아,1064,920,851,p02GYo9bNF17obovFyI2aXEQpYOV64V_L-4YW4tWIrDzYf3BngWrm8RvdMf4bj6D1Fu8NP5eEQVV7g
CHALLENGER,l8ReJb-k059S4QvJMTu6AGm_1gLGa7HxnHrxc5dzOkBR-Yon0auZT8QAyw,세상이 날 억까해,870,298,216,eXhUIXqEd5A2WmQ5JW6VizYjRTN6i79Xb5QCRFm4QdjPQTTYWiVuB-q24Jm6fn7e1t5A8_yW7WJKPw
CHALLENGER,ZJSyGIbgtKzxoHCo2imHhXhZXEcRzTdFBNoWbskDB6NUeN8,Sw22t but Psycho,1149,1051,981,0rLdHGIxTjO9UIFlv41xrjm3GVPmAJw6sYwHvsfA8xmGqStzKR7HQfVtNQbL6z2DJIjy_vm9th4ADQ
CHALLENGER,5DP6UETKn43G3ztfFVErMYpL9qEfLyQkgy4_VHcz44UP9k8G,전서방 닭갈비,936,652,583,CVer17piQ99i1flOmu-zsde1HEHHPj-OxapsjmX50EXG_IfVPah0SG6kXf-jnRv6eqBGCBw5p6uZww
CHALLENGER,if2R4uldYF7YwoCs0eDPI5AVTt-b2aWuEs24EP67-HzSt8ftlXqzY4-wzg,Good luck6,1016,318,237,noC75P_fm6n1F9x9jbI1FBtZqmFi3m5CWquUTDUo65MJZoyCrUFDW6KdCH1asGudR_lsyIy_rV45Pg
CHALLENGER,KPqhqlVds0-znmUVFVVqulh1pbdU2scZ6R-zq1RV27QMUQub8fLiLCAIRw,xin wu pang wu,1014,155,99,o_ve6RCvUgi6dUjUCKOhX2MJJlQN15skjAWqbIgR1GKNUk0-0REjHx3foDGxfCk02VmNBgA-jx7xMA
CHALLENGER,1LPbsV__xj4RQTZzoRnM2OotAY0xLBydBCA6X_S1xU1DDxe4xFU5qsVsCQ,mid ten10,1180,422,345,6U7c8-xikjtiTs7V18_b8oJrpzkXtFXf2Avr7lGKubuxJivgUhqwN1UxCaqBI4Ph7WaF9aOzEWRz6A
CHALLENGER,R7G2DF0XXkNXMs7ArtPkahfDrQA9UWM87D9MK5nHJKzyO40,Liiv gyuvee,1094,472,400,0
CHALLENGER,5R-5_Ukq_Xv418y44NPfvpYatIV0SJ8faXV5vcdEmPFs9NpvJ2nKm_J9XA,미 호,933,288,225,2S3pLr-AOJ9iqnB2a9wZwPIZpPO-IcyRrUwjp8Mv-h-ujmlC-SfKDetHD80jFQZTPLa2VupihNvsfA
CHALLENGER,K5cxw_Oq4MlcSOd03JhWf4o00b23fdj5zpQ4icbvpu37GGRoteXzAOatFQ,BZZZIII,946,1239,1172,Kn7GNEg8NhLLOzOZpY3PuVzSJk_l47pOvWcqLUS-zVgWQJ3L4uUXqndDoqCfPT5cSveKjmsN2pOLhw
CHALLENGER,v1SqIcd0yar587j6LCFn9NSl72CQ0P1bD2YfI9laR_crUhU,Pz ZZang,1183,328,256,Wjd0Kcno7tZfH3mLIlHCegd8p5CmWw4qXFOiKk-ZvHESQcp_LbsAcddRGGl0gNdWPz9W-tIeIJBFww
CHALLENGER,_EMalJ__sgVP8ScsC5CLKR6Kf2nnWVQ-y50KGq4tQ-hxCKI,T1 F0rest,1092,1235,1166,6L4HmPFSTUQDUSHxz0vMRQ0zXigAMLPaoEkMJ-pdO3C5gob16cOsXT-EcpXPb8UQ6kmyAeZVBLPOog
CHALLENGER,_akidBn3sWMbVIw8nDU6HQenD8J736aztZ1bWFq6boV3Pg,킬러톱,871,845,782,m8zmrs4djZwHIcqIlwEbrJ6BBOVltBv6V7oFpDETuWunBIRWBViDF69gXVOmzf-VHTPgDKYHbt875A
CHALLENGER,36UTnoELpEgbs_pQFWQ8D3wZhvf-sxT9HrdV5Yfti1PdWrU,Brona,871,573,516,ydrZ05cfLdRbeQZn0W3pZJzxOAUiUmeFs66iC6hsxX1XIm-vXthy7IRf27sbJxWVty_2ae3mkaKcuw
CHALLENGER,Vr_kjotRMVBJCFZOsOiDwMp4F1F8FOw7zDzMzj_mTNukOSM,늪에 빠지다1,857,817,759,FoXuTiOWGI2M31R5KdGlvLm8a2Zi6HOr1XyjM7kG4WDck1xooHy-i-lTHuk0X8EkywiTlIy6YToZig
CHALLENGER,GEYGVnC-lm6yujbHgcLydJPnE9yknzVCLzTX2kpoX7mMD38,HashtagWin,865,364,312,fNyyGCX9PaDxTXFQYWfFg_y9QHUx5ar6FxI9-8TouC_bWsFet5Ai7IcFwajOK1L7e2z7wNBKNaF_XQ
CHALLENGER,9BrqwZdPnAM7qmhDkKL4aMAceKOn5oTegsMWngM7S_bo3g4,구체맛좀볼래,1094,242,147,bOOUUY7jaLPCMSYBnPqCGTxCB92js26WlpfZ6qf0LqkZcmUxrmiQIrYQ3pM9a_oJ11vsosoOdsEWAQ
CHALLENGER,qhBOgjYeXNzK6T9s8B9rMCCPvztZdsb_jIjdmLjhNcKc6Us,Lehends,1117,822,748,s3N_pSIbwnGgIeID-rsaXGUj450TezIANaM2z9NKgcePZCVXysYek_yhaIgVijuIytrB_kjOxONiSQ
CHALLENGER,Uh4P907OmGs3aIcTHYz1L6tjPi_nDo740nhv-ZbfRGZwNeI,어리고싶다,1022,786,713,A1ZO8xHJ3C3uF3HaEm3xvYTr-rLhJj7LYhvlvdLeRWCIhjKnUHg8oCUb7dr3VNQNOjypDl1cFsBe3Q
CHALLENGER,4Z2Nfs-4FrLTBStNwR6DijayEENwT9GkEhU-2gsA69EOE5hTOTwRg0nC5w,KT PerfecT,1549,908,794,70_HIHnDstC56xLZe_RaplqHo0VusFaAaSoTGv7RdJQ__iesWhWPy_NSyux5QdSbwTeOX2EFbFc2SQ
CHALLENGER,aeXhAKt2D-1ZzLJOXFWLLEvv5z444USDY4tShHuGTeX0iDXG_BrHKCcfpQ,K T,969,133,71,1dXv96aJHAzu37CiQ73FKTCZDx1aZZwxQNmggqB3UCTX0A1Be6IXa47EJMntZ9UTX_Ufr7z_NWs_EQ
CHALLENGER,Vvr4sI4Rr7aehzRVbj0cJgVaCNrxRUkusyoNjkazC7FeRRB3,KT Harp,1201,665,581,-Pc_rnM5CgxH7xx6I6SGp3BAr_ltN6qy8EN3qKi-pk1Jf9Fi_KKOTaCwKfHSWeMUEWM05wP5ZoaVYQ
CHALLENGER,SwR0DhaZ8vF7dHrajYUCo6nx_CpM6VGErpHeib8JJ6ypPyg,시간의 숲,922,344,276,Ou8OnUhwcRfva5HMiiMoQxmgcI9kuARKaBWmXKO7NBOV40O0-tt3blY08sIX9knl3hbfWrxXbHWuTQ
CHALLENGER,EQm9pPXllshi-cjjDEvwFlOm7RqlOTTT580HfNGesQU1H3PZ,모다차,1046,485,420,0
CHALLENGER,XkW9_w2LQ9mBcXTx_Xqf0SeBlXb5VQjNcOZcFblF-mQgoHL9ERqL_UHI2A,Twitch아라드,1054,151,82,nAWFiUSr5eSSw-SMexlzOXBbDha_BSSgIZuREi5OrdCd9fDks7RnmTeIyC2ydb932YNz64CvfcanPA
CHALLENGER,LeUIjursyKtj1zJUDySFfWlQfyggMMcv__8eSrv73CIv5W8,lIlIIllIlIIllIlI,1110,302,236,trBNxzZeMDvi4behGkO2v-6JseZshsmmuxtAKADYcJVLG0dZ2GW6-V4hPFxzFrC1_GowXMKr5Gu20w
CHALLENGER,hwmDsLaSYCaDIsfc-65faXeVbfhoeqQ-P68kz8nUEriZ4tw,열심히해볼생각,1110,689,616,v-ezaLBtH0txkAxQFNvxkUvvD2e7sE51TyikdI3p4W9H1x7LOtfUTQvw-vJGf6ht8IqUjZ2f2mM3ZQ
CHALLENGER,t4aqHoN-3BFwljB6lZEpPF17EJo4uq7rKkXb_fTGuHYo6Ew,가혹한현실,861,656,608,NWI9J2oKK9hHnStYC-kRKAR91YUPRq0S3MVxfMY942rNvBU2XFfCY05FgAvYWDIfuBA4SCVKgrm4aQ
CHALLENGER,S8NJPcFz0qURhlVhgmHfyAUZXoj1_BDRuTJXbmNNkiRI-A5K,카사돌,1139,970,892,PJlDFi99ld_WiH7a4QzJ2n-H2Ru2OJMtNIgqDz_6LZg7CAPw2DUFq2hK_LgB5S_GhUGNFtTNPKNraw
CHALLENGER,GXbZINxDK1njCvLx-CfcOSzsaY9aiQOuQ63yMoFLEhdcPow,엠에프둠,908,1746,1678,g-1R8_C2H7QrX9bUzp93I6gPsl8r9LLXnyXynyko1R-mOPN6nmaijAtRs2QQvnJAtqH31QqMcWDayQ
CHALLENGER,okshkHYH6sswiKNhIWZDf3npSQXkNZjVITw2ete9Vb8L608,갱붕이,1152,1332,1255,9MG3Tmhf6AbHJI7lmdWIdmyg7aXqtkmhgiWT5U-XUrhN1bp1Va9sFQZmNxceC7MjF59uo_KlrHAoCQ
CHALLENGER,HHBO3TIb7M3kGFFcW8Gy_xMbvSTEOM7RSf17qu7KsYnK_EY,수호망,962,421,353,9N6anFHlhzuK5pEEKYFXsdaiowZ7LKBnOtLL0aIpW1ifYbiLQ3T55z-4t1u6y-_80A1xAA_3Vv-5LQ
